wo_id,equipment_id,date,problem,root_cause,action_taken,technician,status
"WO-0290","VLV-PR-201","2025-07-04","Valve stuck in open position","Corrosion of stem and body seizing","Penetrating oil applied; stem polished; lubricated","Anwar","Completed"
"WO-0291","PMP-CW-101","2025-07-05","Excessive bearing noise and vibration","Bearing wear due to inadequate lubrication; prior inspection warning noted 13 days before failure","Replaced drive-end and non-drive-end bearings; repacked with lithium grease","Rajan","Completed"
"WO-0292","PMP-CW-101","2025-07-05","Excessive bearing noise and vibration","Bearing wear due to inadequate lubrication","Replaced drive-end and non-drive-end bearings; repacked with lithium grease","Kavitha","Completed"
"WO-0293","HEX-CW-102","2025-07-07","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends","Plugged leaking tubes; scheduled tube bundle replacement","Anwar","Completed"
"WO-0294","MTR-FW-202","2025-07-07","Excessive vibration at coupling end","Shaft misalignment with driven pump","Laser alignment performed; alignment to within 0.05mm","Suresh","Completed"
"WO-0295","PMP-PR-301","2025-07-14","Abnormal noise during pump startup","Cavitation due to low suction pressure","Adjusted suction valve opening; cleared strainer blockage","Rajan","Completed"
"WO-0296","CMP-AIR-102","2025-07-19","System pressure unstable, hunting observed","Pressure loss from leaking inlet valve; last PM inspection overdue by 67 days","Replaced inlet valve assembly; reseated valve plate; PM schedule updated and overdue inspection completed","Anwar","Completed"
"WO-0297","PMP-CW-101","2025-07-22","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Kavitha","Closed"
"WO-0298","CMP-AIR-101","2025-07-23","Outlet pressure 3 bar below rated value","Pressure loss from scored cylinder bore","Cylinder rebored and honed; new oversize piston fitted","Rajan","Completed"
"WO-0299","PMP-PR-301","2025-07-23","Water leakage from pump casing joint","Gland packing failure and shaft wear","Repacked gland; shimmed shaft alignment","Deepak","Completed"
"WO-0300","MTR-PR-301","2025-07-24","IR value 0.8 MΩ, below 1 MΩ threshold","Insulation deterioration from thermal cycling; last PM inspection overdue by 62 days","Partial rewind; applied class H varnish; dried in oven 8 hours; PM schedule updated and overdue inspection completed","Anwar","Closed"
"WO-0301","CMP-REF-301","2025-07-27","System pressure unstable, hunting observed","Pressure loss from leaking inlet valve; last PM inspection overdue by 59 days","Replaced inlet valve assembly; reseated valve plate; PM schedule updated and overdue inspection completed","Rajan","Closed"
"WO-0302","CMP-AIR-101","2025-07-28","Intercooler outlet temperature elevated 20°C","Fouling and scale buildup in heat exchanger passages","Chemical descaling of cooler; backflushed cooling water circuit","Anwar","Closed"
"WO-0303","MTR-CW-101","2025-08-01","High vibration and noise at bearing housings","Misalignment and coupling wear","Replaced flexible coupling insert; realigned shafts","Pradeep","Completed"
"WO-0304","MTR-PR-301","2025-08-03","Motor tripping on earth fault relay","Winding insulation breakdown at phase-to-earth","Rewound stator; upgraded insulation class to F","Pradeep","Closed"
"WO-0305","PMP-PR-301","2025-08-03","Seal flush line blocked, seal overheating","Seal failure from loss of flush cooling","Replaced seal; flushed and cleared seal pot lines","Deepak","Completed"
"WO-0306","CMP-N2-201","2025-08-04","Oil carryover contaminating process air","Oil leakage from separator element failure","Replaced oil separator element; checked coalescing filter","Murugan","Completed"
"WO-0307","PMP-CW-101","2025-08-04","Seal flush line blocked, seal overheating","Seal failure from loss of flush cooling; prior inspection warning noted 3 days before failure","Replaced seal; flushed and cleared seal pot lines","Suresh","Completed"
"WO-0308","PMP-CW-102","2025-08-04","Water leakage from pump casing joint","Gland packing failure and shaft wear; last PM inspection overdue by 53 days","Repacked gland; shimmed shaft alignment; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0309","HEX-CW-101","2025-08-04","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends; last PM inspection overdue by 58 days","Plugged leaking tubes; scheduled tube bundle replacement; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0310","CMP-AIR-101","2025-08-05","Compressor shutdown on high temp trip 200°C","Temperature alarm due to low oil level causing friction; last PM inspection overdue by 65 days","Topped oil; replaced oil cooler; checked all temp sensors; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0311","HEX-CW-102","2025-08-08","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer","Mechanical cleaning of shell side; replaced gaskets","Kavitha","Completed"
"WO-0312","VLV-PR-202","2025-08-08","Valve passing in closed position","Seat erosion from high velocity flow; last PM inspection overdue by 70 days","Lapped valve seat; replaced stem packing; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0313","HEX-PR-201","2025-08-08","High differential pressure across heat exchanger","Tube-side fouling and partial blockage; last PM inspection overdue by 88 days","High-pressure water jetting of tube bundle; eddy current test; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0314","CMP-AIR-102","2025-08-10","Outlet pressure 3 bar below rated value","Pressure loss from scored cylinder bore","Cylinder rebored and honed; new oversize piston fitted","Deepak","Completed"
"WO-0315","MTR-FW-202","2025-08-10","High vibration and noise at bearing housings","Misalignment and coupling wear; last PM inspection overdue by 67 days","Replaced flexible coupling insert; realigned shafts; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0316","PMP-FW-201","2025-08-10","Excessive bearing noise and vibration","Bearing wear due to inadequate lubrication","Replaced drive-end and non-drive-end bearings; repacked with lithium grease","Rajan","Completed"
"WO-0317","VLV-GS-401","2025-08-11","Valve stem packing leaking","Packing degradation from thermal cycling; last PM inspection overdue by 38 days","Replaced PTFE packing; torqued gland follower; PM schedule updated and overdue inspection completed","Anwar","Completed"
"WO-0318","VLV-PR-201","2025-08-12","Valve stem packing leaking","Packing degradation from thermal cycling; last PM inspection overdue by 19 days","Replaced PTFE packing; torqued gland follower; PM schedule updated and overdue inspection completed","Pradeep","Completed"
"WO-0319","PMP-CW-101","2025-08-15","Pump casing erosion observed","Prolonged cavitation causing pitting","Casing interior epoxy-coated; NPSH margins reviewed","Anwar","Completed"
"WO-0320","PMP-FW-201","2025-08-16","Flow rate drop with high power consumption","Cavitation from entrained air in suction line","Bled air from suction; repaired suction pipe joint","Murugan","Completed"
"WO-0321","MTR-CW-101","2025-08-16","Excessive vibration at coupling end","Shaft misalignment with driven pump; last PM inspection overdue by 28 days","Laser alignment performed; alignment to within 0.05mm; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0322","VLV-CW-101","2025-08-16","Actuator not responding to control signal","Positioner failure and air supply issue","Replaced positioner; adjusted zero and span","Suresh","Completed"
"WO-0323","PMP-PR-301","2025-08-20","Water leakage from pump casing joint","Gland packing failure and shaft wear","Repacked gland; shimmed shaft alignment","Anwar","Completed"
"WO-0324","MTR-FW-201","2025-08-21","Thermal overload trip during peak load","Overheating from overloaded operating conditions","Reset overload relay; adjusted load; verified current settings","Suresh","Completed"
"WO-0325","PMP-PR-301","2025-08-21","Abnormal noise during pump startup","Cavitation due to low suction pressure; last PM inspection overdue by 80 days","Adjusted suction valve opening; cleared strainer blockage; PM schedule updated and overdue inspection completed","Murugan","Completed"
"WO-0326","VLV-ST-301","2025-08-30","Actuator not responding to control signal","Positioner failure and air supply issue","Replaced positioner; adjusted zero and span","Rajan","Completed"
"WO-0327","MTR-CW-101","2025-09-03","High vibration and noise at bearing housings","Misalignment and coupling wear; last PM inspection overdue by 21 days","Replaced flexible coupling insert; realigned shafts; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0328","PMP-PR-301","2025-09-04","Water leakage from pump casing joint","Gland packing failure and shaft wear","Repacked gland; shimmed shaft alignment","Deepak","Completed"
"WO-0329","MTR-FW-202","2025-09-05","IR value 0.8 MΩ, below 1 MΩ threshold","Insulation deterioration from thermal cycling","Partial rewind; applied class H varnish; dried in oven 8 hours","Anwar","Completed"
"WO-0330","CMP-REF-301","2025-09-07","Compressor shutdown on high temp trip 200°C","Temperature alarm due to low oil level causing friction; last PM inspection overdue by 44 days","Topped oil; replaced oil cooler; checked all temp sensors; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0331","MTR-CW-101","2025-09-08","Thermal overload trip during peak load","Overheating from overloaded operating conditions; last PM inspection overdue by 87 days","Reset overload relay; adjusted load; verified current settings; PM schedule updated and overdue inspection completed","Murugan","Completed"
"WO-0332","MTR-FW-201","2025-09-09","Insulation resistance low - 0.3 MΩ measured","Insulation failure due to moisture ingress","Oven-dried windings; applied insulation varnish; megger tested","Pradeep","Completed"
"WO-0333","MTR-FW-201","2025-09-26","IR value 0.8 MΩ, below 1 MΩ threshold","Insulation deterioration from thermal cycling","Partial rewind; applied class H varnish; dried in oven 8 hours","Deepak","Completed"
"WO-0334","MTR-CW-102","2025-09-28","Motor tripping on earth fault relay","Winding insulation breakdown at phase-to-earth","Rewound stator; upgraded insulation class to F","Pradeep","Completed"
"WO-0335","VLV-PR-202","2025-09-28","Valve passing in closed position","Seat erosion from high velocity flow; last PM inspection overdue by 26 days","Lapped valve seat; replaced stem packing; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0336","PMP-FW-201","2025-09-29","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue; last PM inspection overdue by 84 days","Replaced mechanical seal cartridge; inspected shaft sleeve; PM schedule updated and overdue inspection completed","Pradeep","Completed"
"WO-0337","MTR-FW-202","2025-09-30","Motor winding temperature above 85°C","Overheating due to blocked ventilation ducts","Cleaned cooling fins; replaced cooling fan; checked current draw","Pradeep","Closed"
"WO-0338","MTR-FW-201","2025-10-01","Excessive vibration at coupling end","Shaft misalignment with driven pump","Laser alignment performed; alignment to within 0.05mm","Suresh","Completed"
"WO-0339","PMP-CW-102","2025-10-05","Pump casing erosion observed","Prolonged cavitation causing pitting","Casing interior epoxy-coated; NPSH margins reviewed","Deepak","Completed"
"WO-0340","MTR-FW-201","2025-10-06","Thermal overload trip during peak load","Overheating from overloaded operating conditions","Reset overload relay; adjusted load; verified current settings","Kavitha","Completed"
"WO-0341","HEX-PR-201","2025-10-06","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer","Mechanical cleaning of shell side; replaced gaskets","Pradeep","Completed"
"WO-0342","MTR-PR-301","2025-10-07","IR value 0.8 MΩ, below 1 MΩ threshold","Insulation deterioration from thermal cycling; last PM inspection overdue by 57 days","Partial rewind; applied class H varnish; dried in oven 8 hours; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0343","PMP-CW-102","2025-10-10","Water leakage from pump casing joint","Gland packing failure and shaft wear","Repacked gland; shimmed shaft alignment","Deepak","Completed"
"WO-0344","VLV-GS-401","2025-10-11","Valve stuck in open position","Corrosion of stem and body seizing","Penetrating oil applied; stem polished; lubricated","Anwar","Completed"
"WO-0345","HEX-CW-102","2025-10-13","High differential pressure across heat exchanger","Tube-side fouling and partial blockage; last PM inspection overdue by 65 days","High-pressure water jetting of tube bundle; eddy current test; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0346","HEX-CW-101","2025-10-15","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer","Mechanical cleaning of shell side; replaced gaskets","Anwar","Completed"
"WO-0347","VLV-PR-201","2025-10-17","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Deepak","Completed"
"WO-0348","HEX-CW-101","2025-10-19","High differential pressure across heat exchanger","Tube-side fouling and partial blockage","High-pressure water jetting of tube bundle; eddy current test","Rajan","Completed"
"WO-0349","PMP-CW-101","2025-10-20","Water leakage from pump casing joint","Gland packing failure and shaft wear; last PM inspection overdue by 87 days","Repacked gland; shimmed shaft alignment; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0350","MTR-FW-201","2025-10-21","Motor winding temperature above 85°C","Overheating due to blocked ventilation ducts","Cleaned cooling fins; replaced cooling fan; checked current draw","Deepak","Closed"
"WO-0351","VLV-DR-501","2025-10-21","Valve stuck in open position","Corrosion of stem and body seizing","Penetrating oil applied; stem polished; lubricated","Murugan","Completed"
"WO-0352","MTR-FW-201","2025-10-21","Motor winding temperature above 85°C","Overheating due to blocked ventilation ducts","Cleaned cooling fins; replaced cooling fan; checked current draw","Kavitha","Completed"
"WO-0353","PMP-CW-101","2025-10-22","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Anwar","Closed"
"WO-0354","CMP-AIR-101","2025-10-22","Oil carryover contaminating process air","Oil leakage from separator element failure; last PM inspection overdue by 72 days","Replaced oil separator element; checked coalescing filter; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0355","MTR-PR-301","2025-10-22","Motor winding temperature above 85°C","Overheating due to blocked ventilation ducts","Cleaned cooling fins; replaced cooling fan; checked current draw","Murugan","Completed"
"WO-0356","PMP-PR-301","2025-10-24","Pump vibration exceeds 7mm/s RMS","Bearing wear combined with rotor imbalance","Bearings replaced; rotor balanced in-situ","Suresh","Completed"
"WO-0357","CMP-N2-201","2025-10-25","System pressure unstable, hunting observed","Pressure loss from leaking inlet valve","Replaced inlet valve assembly; reseated valve plate","Rajan","Completed"
"WO-0358","PMP-CW-101","2025-10-28","Flow rate drop with high power consumption","Cavitation from entrained air in suction line; prior inspection warning noted 21 days before failure","Bled air from suction; repaired suction pipe joint","Suresh","Completed"
"WO-0359","CMP-N2-201","2025-10-30","System pressure unstable, hunting observed","Pressure loss from leaking inlet valve","Replaced inlet valve assembly; reseated valve plate","Kavitha","Completed"
"WO-0360","VLV-DR-501","2025-10-30","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Suresh","Completed"
"WO-0361","VLV-GS-401","2025-11-01","Actuator not responding to control signal","Positioner failure and air supply issue; last PM inspection overdue by 73 days","Replaced positioner; adjusted zero and span; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0362","PMP-FW-201","2025-11-01","Excessive bearing noise and vibration","Bearing wear due to inadequate lubrication","Replaced drive-end and non-drive-end bearings; repacked with lithium grease","Deepak","Completed"
"WO-0363","VLV-ST-301","2025-11-02","Actuator not responding to control signal","Positioner failure and air supply issue","Replaced positioner; adjusted zero and span","Rajan","Completed"
"WO-0364","CMP-AIR-101","2025-11-04","Oil level dropping rapidly, no external leak","Internal oil leakage past cylinder rings","Replaced ring set; inspected cylinder walls for scoring","Rajan","Closed"
"WO-0365","MTR-PR-301","2025-11-06","Motor tripping on earth fault relay","Winding insulation breakdown at phase-to-earth","Rewound stator; upgraded insulation class to F","Pradeep","Completed"
"WO-0366","HEX-CW-102","2025-11-06","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends; last PM inspection overdue by 36 days","Plugged leaking tubes; scheduled tube bundle replacement; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0367","PMP-FW-201","2025-11-09","Abnormal noise during pump startup","Cavitation due to low suction pressure","Adjusted suction valve opening; cleared strainer blockage","Pradeep","Completed"
"WO-0368","PMP-PR-301","2025-11-10","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue","Replaced mechanical seal cartridge; inspected shaft sleeve","Suresh","Completed"
"WO-0369","MTR-PR-301","2025-11-14","Excessive vibration at coupling end","Shaft misalignment with driven pump","Laser alignment performed; alignment to within 0.05mm","Deepak","Completed"
"WO-0370","CMP-AIR-102","2025-11-15","Oil found in discharge air line","Oil leakage past worn oil seals on crankshaft; last PM inspection overdue by 59 days","Replaced crankshaft oil seals; changed lubricating oil; PM schedule updated and overdue inspection completed","Anwar","Closed"
"WO-0371","PMP-CW-102","2025-11-16","Water leakage from pump casing joint","Gland packing failure and shaft wear; last PM inspection overdue by 46 days","Repacked gland; shimmed shaft alignment; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0372","HEX-CW-102","2025-11-17","High differential pressure across heat exchanger","Tube-side fouling and partial blockage; last PM inspection overdue by 76 days","High-pressure water jetting of tube bundle; eddy current test; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0373","VLV-CW-101","2025-11-19","Valve passing in closed position","Seat erosion from high velocity flow","Lapped valve seat; replaced stem packing","Anwar","Completed"
"WO-0374","PMP-CW-102","2025-11-20","Pump casing erosion observed","Prolonged cavitation causing pitting","Casing interior epoxy-coated; NPSH margins reviewed","Deepak","Completed"
"WO-0375","VLV-DR-501","2025-11-22","Actuator not responding to control signal","Positioner failure and air supply issue","Replaced positioner; adjusted zero and span","Suresh","Closed"
"WO-0376","VLV-PR-202","2025-11-24","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Pradeep","Completed"
"WO-0377","CMP-AIR-102","2025-11-25","Intercooler outlet temperature elevated 20°C","Fouling and scale buildup in heat exchanger passages","Chemical descaling of cooler; backflushed cooling water circuit","Kavitha","Completed"
"WO-0378","CMP-N2-201","2025-11-29","Discharge pressure dropping below setpoint","Pressure loss due to worn piston rings; last PM inspection overdue by 67 days","Replaced piston rings and cylinder liners; pressure tested; PM schedule updated and overdue inspection completed","Pradeep","Completed"
"WO-0379","PMP-PR-301","2025-11-30","Water leakage from pump casing joint","Gland packing failure and shaft wear","Repacked gland; shimmed shaft alignment","Rajan","Completed"
"WO-0380","MTR-PR-301","2025-12-01","Motor winding temperature above 85°C","Overheating due to blocked ventilation ducts","Cleaned cooling fins; replaced cooling fan; checked current draw","Suresh","Completed"
"WO-0381","PMP-FW-201","2025-12-04","Pump vibration exceeds 7mm/s RMS","Bearing wear combined with rotor imbalance","Bearings replaced; rotor balanced in-situ","Murugan","Completed"
"WO-0382","CMP-AIR-102","2025-12-09","Outlet pressure 3 bar below rated value","Pressure loss from scored cylinder bore; last PM inspection overdue by 71 days","Cylinder rebored and honed; new oversize piston fitted; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0383","PMP-FW-202","2025-12-10","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue","Replaced mechanical seal cartridge; inspected shaft sleeve","Pradeep","Completed"
"WO-0384","CMP-N2-201","2025-12-14","System pressure unstable, hunting observed","Pressure loss from leaking inlet valve; last PM inspection overdue by 81 days","Replaced inlet valve assembly; reseated valve plate; PM schedule updated and overdue inspection completed","Anwar","Completed"
"WO-0385","VLV-DR-501","2025-12-16","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Rajan","Completed"
"WO-0386","CMP-REF-301","2025-12-16","Outlet pressure 3 bar below rated value","Pressure loss from scored cylinder bore","Cylinder rebored and honed; new oversize piston fitted","Suresh","Completed"
"WO-0387","PMP-FW-201","2025-12-20","Seal flush line blocked, seal overheating","Seal failure from loss of flush cooling; last PM inspection overdue by 45 days","Replaced seal; flushed and cleared seal pot lines; PM schedule updated and overdue inspection completed","Suresh","Closed"
"WO-0388","PMP-FW-201","2025-12-20","Excessive bearing noise and vibration","Bearing wear due to inadequate lubrication; last PM inspection overdue by 75 days","Replaced drive-end and non-drive-end bearings; repacked with lithium grease; PM schedule updated and overdue inspection completed","Murugan","Completed"
"WO-0389","MTR-CW-102","2025-12-23","Thermal overload trip during peak load","Overheating from overloaded operating conditions; last PM inspection overdue by 41 days","Reset overload relay; adjusted load; verified current settings; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0390","HEX-CW-101","2025-12-26","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends","Plugged leaking tubes; scheduled tube bundle replacement","Deepak","Completed"
"WO-0391","HEX-CW-101","2025-12-27","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends; last PM inspection overdue by 43 days","Plugged leaking tubes; scheduled tube bundle replacement; PM schedule updated and overdue inspection completed","Anwar","Completed"
"WO-0392","HEX-PR-201","2025-12-28","High differential pressure across heat exchanger","Tube-side fouling and partial blockage","High-pressure water jetting of tube bundle; eddy current test","Deepak","Completed"
"WO-0393","CMP-N2-201","2026-01-01","Compressor shutdown on high temp trip 200°C","Temperature alarm due to low oil level causing friction; last PM inspection overdue by 78 days","Topped oil; replaced oil cooler; checked all temp sensors; PM schedule updated and overdue inspection completed","Anwar","Completed"
"WO-0394","CMP-AIR-101","2026-01-02","Intercooler outlet temperature elevated 20°C","Fouling and scale buildup in heat exchanger passages","Chemical descaling of cooler; backflushed cooling water circuit","Rajan","Closed"
"WO-0395","CMP-AIR-101","2026-01-02","Intercooler outlet temperature elevated 20°C","Fouling and scale buildup in heat exchanger passages; last PM inspection overdue by 79 days","Chemical descaling of cooler; backflushed cooling water circuit; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0396","PMP-CW-102","2026-01-04","Seal flush line blocked, seal overheating","Seal failure from loss of flush cooling","Replaced seal; flushed and cleared seal pot lines","Anwar","Completed"
"WO-0397","PMP-FW-201","2026-01-07","Pump vibration exceeds 7mm/s RMS","Bearing wear combined with rotor imbalance; last PM inspection overdue by 28 days","Bearings replaced; rotor balanced in-situ; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0398","VLV-PR-202","2026-01-08","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Anwar","Completed"
"WO-0399","MTR-CW-101","2026-01-08","High vibration and noise at bearing housings","Misalignment and coupling wear","Replaced flexible coupling insert; realigned shafts","Suresh","Completed"
"WO-0400","MTR-CW-101","2026-01-10","IR value 0.8 MΩ, below 1 MΩ threshold","Insulation deterioration from thermal cycling; last PM inspection overdue by 69 days","Partial rewind; applied class H varnish; dried in oven 8 hours; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0401","HEX-CW-101","2026-01-14","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends","Plugged leaking tubes; scheduled tube bundle replacement","Deepak","Completed"
"WO-0402","PMP-FW-201","2026-01-14","High bearing temperature alarm triggered","Advanced bearing wear, lubricant degradation","Emergency bearing replacement; installed temperature sensor","Murugan","Completed"
"WO-0403","CMP-REF-301","2026-01-15","Outlet pressure 3 bar below rated value","Pressure loss from scored cylinder bore","Cylinder rebored and honed; new oversize piston fitted","Kavitha","Closed"
"WO-0404","MTR-FW-201","2026-01-16","Thermal overload trip during peak load","Overheating from overloaded operating conditions","Reset overload relay; adjusted load; verified current settings","Pradeep","Completed"
"WO-0405","PMP-CW-101","2026-01-21","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Deepak","Closed"
"WO-0406","PMP-CW-102","2026-01-21","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue; last PM inspection overdue by 84 days","Replaced mechanical seal cartridge; inspected shaft sleeve; PM schedule updated and overdue inspection completed","Anwar","Completed"
"WO-0407","PMP-CW-101","2026-01-22","Excessive bearing noise and vibration","Bearing wear due to inadequate lubrication","Replaced drive-end and non-drive-end bearings; repacked with lithium grease","Suresh","Completed"
"WO-0408","VLV-CW-102","2026-01-22","Valve stem packing leaking","Packing degradation from thermal cycling; last PM inspection overdue by 19 days","Replaced PTFE packing; torqued gland follower; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0409","VLV-CW-102","2026-01-23","Valve passing in closed position","Seat erosion from high velocity flow","Lapped valve seat; replaced stem packing","Anwar","Completed"
"WO-0410","PMP-CW-101","2026-01-28","Water leakage from pump casing joint","Gland packing failure and shaft wear; prior inspection warning noted 19 days before failure","Repacked gland; shimmed shaft alignment","Kavitha","Completed"
"WO-0411","MTR-FW-202","2026-01-29","IR value 0.8 MΩ, below 1 MΩ threshold","Insulation deterioration from thermal cycling","Partial rewind; applied class H varnish; dried in oven 8 hours","Murugan","Completed"
"WO-0412","PMP-CW-102","2026-02-03","Flow rate drop with high power consumption","Cavitation from entrained air in suction line","Bled air from suction; repaired suction pipe joint","Deepak","Completed"
"WO-0413","HEX-PR-201","2026-02-03","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer","Mechanical cleaning of shell side; replaced gaskets","Deepak","Completed"
"WO-0414","PMP-FW-201","2026-02-05","High bearing temperature alarm triggered","Advanced bearing wear, lubricant degradation; last PM inspection overdue by 47 days","Emergency bearing replacement; installed temperature sensor; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0415","VLV-GS-401","2026-02-05","Valve passing in closed position","Seat erosion from high velocity flow","Lapped valve seat; replaced stem packing","Rajan","Completed"
"WO-0416","PMP-FW-201","2026-02-05","Pump vibration exceeds 7mm/s RMS","Bearing wear combined with rotor imbalance","Bearings replaced; rotor balanced in-situ","Anwar","Completed"
"WO-0417","CMP-AIR-101","2026-02-08","Discharge pressure dropping below setpoint","Pressure loss due to worn piston rings","Replaced piston rings and cylinder liners; pressure tested","Murugan","Completed"
"WO-0418","VLV-CW-101","2026-02-12","Valve passing in closed position","Seat erosion from high velocity flow; last PM inspection overdue by 60 days","Lapped valve seat; replaced stem packing; PM schedule updated and overdue inspection completed","Murugan","Closed"
"WO-0419","VLV-ST-301","2026-02-17","Valve stuck in open position","Corrosion of stem and body seizing; last PM inspection overdue by 37 days","Penetrating oil applied; stem polished; lubricated; PM schedule updated and overdue inspection completed","Pradeep","Completed"
"WO-0420","PMP-FW-202","2026-02-20","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue","Replaced mechanical seal cartridge; inspected shaft sleeve","Kavitha","Completed"
"WO-0421","VLV-DR-501","2026-02-21","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Pradeep","Closed"
"WO-0422","MTR-CW-101","2026-02-22","Motor body temperature 110°C during run","Overheating due to single phasing; last PM inspection overdue by 77 days","Replaced blown fuse; checked and tightened terminal connections; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0423","PMP-FW-201","2026-02-22","Pump vibration exceeds 7mm/s RMS","Bearing wear combined with rotor imbalance","Bearings replaced; rotor balanced in-situ","Deepak","Completed"
"WO-0424","VLV-ST-301","2026-02-23","Valve passing in closed position","Seat erosion from high velocity flow","Lapped valve seat; replaced stem packing","Rajan","Completed"
"WO-0425","MTR-PR-301","2026-02-24","High vibration and noise at bearing housings","Misalignment and coupling wear","Replaced flexible coupling insert; realigned shafts","Anwar","Completed"
"WO-0426","PMP-FW-201","2026-02-25","Pump vibration exceeds 7mm/s RMS","Bearing wear combined with rotor imbalance; last PM inspection overdue by 61 days","Bearings replaced; rotor balanced in-situ; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0427","PMP-CW-102","2026-03-04","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue","Replaced mechanical seal cartridge; inspected shaft sleeve","Deepak","Completed"
"WO-0428","HEX-PR-201","2026-03-07","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends; last PM inspection overdue by 66 days","Plugged leaking tubes; scheduled tube bundle replacement; PM schedule updated and overdue inspection completed","Murugan","Completed"
"WO-0429","PMP-PR-301","2026-03-08","High bearing temperature alarm triggered","Advanced bearing wear, lubricant degradation; last PM inspection overdue by 35 days","Emergency bearing replacement; installed temperature sensor; PM schedule updated and overdue inspection completed","Murugan","Pending"
"WO-0430","MTR-FW-201","2026-03-10","Motor body temperature 110°C during run","Overheating due to single phasing","Replaced blown fuse; checked and tightened terminal connections","Suresh","Completed"
"WO-0431","MTR-CW-102","2026-03-17","Motor winding temperature above 85°C","Overheating due to blocked ventilation ducts","Cleaned cooling fins; replaced cooling fan; checked current draw","Rajan","Completed"
"WO-0432","VLV-DR-501","2026-03-19","Valve stem packing leaking","Packing degradation from thermal cycling; last PM inspection overdue by 78 days","Replaced PTFE packing; torqued gland follower; PM schedule updated and overdue inspection completed","Kavitha","Closed"
"WO-0433","PMP-FW-201","2026-03-21","Abnormal noise during pump startup","Cavitation due to low suction pressure; last PM inspection overdue by 62 days","Adjusted suction valve opening; cleared strainer blockage; PM schedule updated and overdue inspection completed","Pradeep","Completed"
"WO-0434","PMP-FW-201","2026-03-22","Flow rate drop with high power consumption","Cavitation from entrained air in suction line","Bled air from suction; repaired suction pipe joint","Deepak","Completed"
